laptop id,company,product,typename,inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,Price_euros
L0024,HP,Spectre x360 16,Netbook,13.3,2560x1600 IPS WQXGA (HD quality),Core Ultra 7 155H,24GB,AMD Radeon 760M,ChromeOS,1.3,1640.35
L0025,Lenovo,ThinkPad T 14,Business,13.3,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,64GB,Intel Iris Xe,Windows 11,1.23,2325.03
L0026,Samsung,Galaxy Book 15,Chromebook,15.6,2560x1600 IPS WQXGA (HD quality),Core Ultra 5 125H,64GB,NVIDIA GeForce RTX 4060,Windows 11,2.19,2603.39
L0027,MSI,Pulse G16,Ultrabook,13.6,2560x1600 IPS WQXGA (HD quality),Ryzen 5 7640U,8GB,Apple M3 10‑core GPU,Windows 11 Pro,1.28,877.95
L0028,Dell,Vostro Plus,2 in 1 Convertible,15,1920x1080 IPS Touchscreen Full HD,Ryzen 5 7640U,48GB,Apple M3 10‑core GPU,Windows 11,1.52,1809.1
L0029,LG,Ultra PC Plus,Netbook,13.6,3200x2000 Touchscreen 3.2K,Ryzen 9 7940HS,24GB,NVIDIA GeForce RTX 4060,Windows 11,1.75,2158.05
L0030,Avita,Liber V Plus,Workstation,16,3000x2000 IPS 3K,Ryzen 7 8840U,16GB,AMD Radeon 760M,Ubuntu 24.04,1.79,1267.48
L0031,Lenovo,Legion 7,Gaming,13.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 5 7640U,16GB,AMD Radeon 780M,Windows 11,1.22,916.01
L0032,Samsung,Galaxy Book3 13,Chromebook,16,3200x2000 IPS Touchscreen 3.2K,Core i5-13500H,32GB,NVIDIA GeForce RTX 4050,Windows 11,2.43,1895.11
L0033,Gigabyte,G6 15,Gaming,17,2880x1800 IPS 2.8K,Core Ultra 7 155H,32GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.86,2609.64
L0034,Huawei,MateBook 14 X1,Chromebook,14,3200x2000 Touchscreen 3.2K,Ryzen 7 8840U,16GB,AMD Radeon 780M,Ubuntu 24.04,1.38,1095.7
L0035,Dell,Latitude 15,Workstation,15.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Core Ultra 7 165H,16GB,NVIDIA GeForce RTX 4050,Windows 11,1.98,1920.57
L0036,Apple,MacBook Air 15,Ultrabook,16,2880x1800 IPS 2.8K,Apple M3 Pro,24GB,Apple M3 10‑core GPU,macOS,1.85,1930.95
L0037,Toshiba,Dynabook Portege Pro,2 in 1 Convertible,16.1,2560x1440 Touchscreen Quad HD,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.56,2119.44
L0038,Avita,Pura Plus,Ultrabook,13.6,3200x2000 Touchscreen 3.2K,Core i7-13700H,16GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,1.67,2109.29
L0039,Gigabyte,G6 16,Notebook,16.1,1920x1080 IPS Touchscreen Full HD,Core i7-1360P,16GB,Intel Arc iGPU,Ubuntu 22.04,1.95,1633.45
L0040,Lenovo,ThinkPad X Plus,Gaming,14.5,2560x1440 Touchscreen Quad HD,Core Ultra 9 185H,32GB,NVIDIA GeForce RTX 4060,Windows 11,1.89,2520.44
L0041,Razer,Blade 16,Business,16,3200x2000 IPS 3.2K,Core Ultra 9 185H,8GB,NVIDIA GeForce RTX 4060,Ubuntu 22.04,2.33,2305.34
L0042,Microsoft,Surface Laptop Studio G16,Notebook,17,3200x2000 Touchscreen 3.2K,Core i5-13500H,32GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.67,2175.39
L0043,LG,Ultra PC Plus,Chromebook,16.1,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 8840U,16GB,Intel Arc iGPU,Windows 11 Pro,1.85,1420.41
L0044,Razer,Blade Stealth G16,Ultrabook,16.1,3840x2160 Touchscreen 4K UHD,Core i7-13700H,16GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.33,2084.84
L0045,Lenovo,Yoga 7,2 in 1 Convertible,16.1,3200x2000 IPS Touchscreen 3.2K,Ryzen 9 7940HS,8GB,NVIDIA GeForce RTX 4050,Windows 11,2.24,1661.52
L0046,Microsoft,Surface Laptop Studio X1,Netbook,15.6,3200x2000 Touchscreen 3.2K,Ryzen 7 8840U,24GB,Intel Iris Xe,Windows 11,1.61,1566.57
L0047,Gigabyte,AORUS 15,2 in 1 Convertible,16.1,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 5 7640U,16GB,AMD Radeon 780M,Windows 11,1.86,1152.04
L0048,HP,Pavilion,Ultrabook,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i7-13700H,8GB,Apple M3 10‑core GPU,Windows 11 Pro,2.19,1373.97
L0049,Apple,MacBook Pro 7,Notebook,13.6,2880x1800 Touchscreen 2.8K,Apple M2,48GB,Apple M2 10‑core GPU,macOS,1.32,1856.97
L0050,HP,EliteBook 16,Notebook,14.5,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7735HS,48GB,Intel Iris Xe,Ubuntu 24.04,1.44,1757.55
L0051,Toshiba,Dynabook Portege 16,Ultrabook,13.6,3840x2160 IPS 4K UHD,Core i5-1340P,64GB,Intel Arc iGPU,Windows 11,1.3,2040.35
L0052,MSI,Katana Plus,Chromebook,15,1920x1080 IPS Full HD,Ryzen 7 8840U,64GB,AMD Radeon 760M,Windows 11,1.63,2222.42
L0053,LG,Gram X1,Notebook,17,2560x1440 IPS Touchscreen Quad HD,Core i5-1340P,16GB,Intel Arc iGPU,Windows 11 Pro,2.22,1467.15
L0054,Avita,Pura 7,Notebook,16.1,3200x2000 Touchscreen 3.2K,Ryzen 7 8840U,48GB,Apple M3 10‑core GPU,Windows 11,1.92,1965.62
L0055,Huawei,MateBook X Plus,Workstation,13.3,1920x1080 IPS Full HD,Core i5-1340P,48GB,Intel Arc iGPU,Ubuntu 22.04,1.24,1784.7
L0056,Avita,Pura 14,Business,16.1,1920x1080 Touchscreen Full HD,Ryzen 9 7940HS,24GB,NVIDIA GeForce RTX 3050,Ubuntu 24.04,2.26,2006.14
L0057,MSI,Pulse,Chromebook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 5 7640U,32GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.32,1300.54
L0058,MSI,Prestige 15,Netbook,16.1,3200x2000 Touchscreen 3.2K,Core Ultra 9 185H,24GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.24,2549.15
L0059,Lenovo,ThinkPad T 16,Ultrabook,17,2880x1800 IPS 2.8K,Core Ultra 7 155H,32GB,Intel Iris Xe,Windows 11 Pro,2.2,1865.55
L0060,Toshiba,Dynabook Portege 7,2 in 1 Convertible,16.1,3000x2000 IPS 3K,Ryzen 7 7840U,48GB,Apple M3 10‑core GPU,Windows 11,1.97,1885.91
L0061,Gigabyte,G6 G16,Workstation,13.3,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 7735HS,48GB,AMD Radeon 760M,Ubuntu 24.04,1.26,1744.87
L0062,Microsoft,Surface Pro X1,Chromebook,15.6,3840x2160 IPS 4K UHD,Core i5-13500H,16GB,AMD Radeon 760M,Windows 11 Pro,1.69,1415.48
L0063,MSI,Modern 7,Ultrabook,14,3000x2000 IPS Touchscreen 3K,Ryzen 5 7640U,32GB,Intel Arc iGPU,Windows 11 Pro,1.25,1248.74
L0064,Toshiba,Dynabook Tecra 13,Chromebook,15,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,Windows 11 Pro,1.58,1285.37
L0065,Samsung,Galaxy Book3,Notebook,14.5,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7840U,64GB,Intel Arc iGPU,Windows 11,1.5,2111.51
L0066,Dell,Vostro 14,Workstation,13.3,1920x1080 Touchscreen Full HD,Core i5-1340P,24GB,AMD Radeon 780M,Windows 11,1.26,1443.57
L0067,Gigabyte,AORUS 14,Gaming,13.6,3000x2000 Touchscreen 3K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,1.49,2804.6
L0068,Avita,Pura Pro,Gaming,13.6,2880x1800 Touchscreen 2.8K,Ryzen 9 7940HS,64GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.75,2769.58
L0069,Acer,TravelMate 16,Workstation,13.3,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 8840U,8GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.33,996.87
L0070,Toshiba,Dynabook Portege 15,Netbook,14.5,3200x2000 IPS 3.2K,Ryzen 7 7840U,64GB,Intel Arc iGPU,ChromeOS,1.48,2060.16
L0071,Samsung,Galaxy Book Plus,Netbook,14,1920x1080 Touchscreen Full HD,Ryzen 9 7940HS,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,1.85,2567.96
L0072,ASUS,TUF Gaming 16,Netbook,13.6,2880x1800 IPS 2.8K,Core Ultra 9 185H,64GB,AMD Radeon 760M,ChromeOS,1.35,2767.55
L0073,Gigabyte,G6,Workstation,17,1920x1080 Touchscreen Full HD,Ryzen 7 8840U,48GB,AMD Radeon 760M,Ubuntu 24.04,2.12,1880.4
L0074,Apple,MacBook Pro Plus,2 in 1 Convertible,13.6,3200x2000 Touchscreen 3.2K,Apple M3 Pro,64GB,Apple M3 10‑core GPU,macOS,1.27,2488.17
L0075,Apple,MacBook Pro 7,Notebook,13.6,2560x1440 IPS Touchscreen Quad HD,Apple M3,32GB,Apple M3 10‑core GPU,macOS,1.28,1617.16
L0076,Huawei,MateBook 14 Pro,Business,14,2880x1800 IPS Touchscreen 2.8K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.63,2430.69
L0077,Acer,Swift G16,Netbook,13.3,2880x1800 Touchscreen 2.8K,Core Ultra 7 155H,32GB,NVIDIA GeForce RTX 4050,Windows 11,1.44,2058.55
L0078,Gigabyte,AORUS 13,2 in 1 Convertible,14.5,3840x2160 IPS 4K UHD,Ryzen 7 7840U,48GB,Intel Arc iGPU,Windows 11,1.55,1770.23
L0079,Gigabyte,AORUS 13,Ultrabook,14,1920x1080 Touchscreen Full HD,Core i7-1360P,8GB,Intel Iris Xe,Windows 11,1.4,1268.39
L0080,Huawei,MateBook D 7,Chromebook,15.6,3000x2000 IPS Touchscreen 3K,Core i7-13700H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,2.13,3207.91
L0081,Samsung,Galaxy Book Pro X1,Notebook,16.1,3200x2000 Touchscreen 3.2K,Core Ultra 7 155H,24GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,2.27,1958.34
L0082,Microsoft,Surface Pro X1,Notebook,13.6,3840x2160 IPS Touchscreen 4K UHD,Core i5-13500H,32GB,AMD Radeon 760M,Windows 11 Pro,1.27,1624.85
L0083,Acer,Nitro G16,Workstation,15.6,2560x1440 IPS Touchscreen Quad HD,Ryzen 5 7640U,8GB,Intel Arc iGPU,Windows 11,1.7,898.44
L0084,HP,EliteBook,Netbook,13.6,2880x1800 Touchscreen 2.8K,Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,Windows 11,1.31,1097.66
L0085,LG,Ultra PC 15,Notebook,15.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 5 7640U,24GB,Apple M3 10‑core GPU,Windows 11 Pro,1.72,1446.69
L0086,Toshiba,Dynabook Tecra Plus,Workstation,13.3,2560x1440 Touchscreen Quad HD,Ryzen 7 8840U,24GB,Intel Arc iGPU,Windows 11,1.26,1272.1
L0087,HP,Spectre x360 13,2 in 1 Convertible,16,2880x1800 Touchscreen 2.8K,Ryzen 7 7840U,24GB,AMD Radeon 780M,Windows 11,1.88,1390.23
L0088,Gigabyte,AERO 13,Workstation,16.1,3200x2000 Touchscreen 3.2K,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 4050,Ubuntu 22.04,2.16,1868.17
L0089,Razer,Blade Stealth Pro,Workstation,13.3,2560x1440 Touchscreen Quad HD,Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4050,Ubuntu 24.04,1.49,1524.66
L0090,MSI,Modern 14,Business,17,3200x2000 IPS 3.2K,Ryzen 5 7640U,32GB,Intel Arc iGPU,Windows 11 Pro,2.28,1492.07
L0091,Razer,Blade Stealth Plus,Business,16,2560x1600 IPS WQXGA (HD quality),Ryzen 5 7640U,24GB,Intel Iris Xe,Ubuntu 24.04,1.87,1489.57
L0092,Dell,Vostro 13,2 in 1 Convertible,16,3000x2000 Touchscreen 3K,Core i5-13500H,24GB,Intel Iris Xe,Windows 11,1.72,1602.32
L0093,Microsoft,Surface Pro 15,Netbook,15.6,3200x2000 IPS Touchscreen 3.2K,Core Ultra 9 185H,8GB,NVIDIA GeForce RTX 4050,Windows 11,2.19,2123.03
L0094,Gigabyte,G6 7,Chromebook,15.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 7840U,32GB,Intel Arc iGPU,Windows 11 Pro,1.71,1556.88
L0095,Acer,TravelMate 13,Workstation,16.1,2880x1800 IPS 2.8K,Core i7-1360P,24GB,Intel Arc iGPU,Windows 11,1.92,1735.92
L0096,Samsung,Galaxy Book3 Pro,Ultrabook,16.1,3840x2160 IPS Touchscreen 4K UHD,Core i7-1360P,48GB,AMD Radeon 760M,Windows 11,1.89,2255.43
L0097,Toshiba,Dynabook Portege 13,Gaming,13.3,2560x1440 IPS Touchscreen Quad HD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.66,2338.26
L0098,Apple,MacBook Pro 13,Netbook,13.6,3000x2000 IPS Touchscreen 3K,Apple M3 Max,24GB,Apple M3 10‑core GPU,macOS,1.24,2180.7
L0099,Avita,Liber V G16,Notebook,14,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,48GB,Intel Arc iGPU,Windows 11 Pro,1.38,1742.7
L0100,HP,EliteBook 13,Business,17,2560x1600 IPS WQXGA (HD quality),Ryzen 7 8840U,16GB,Intel Iris Xe,Windows 11 Pro,2.14,1340
L0101,HP,Spectre x360 16,Notebook,17,3840x2160 IPS Touchscreen 4K UHD,Core i7-1360P,48GB,Intel Iris Xe,Windows 11,2.13,2258.07
L0102,Gigabyte,AORUS 7,Ultrabook,16,2560x1600 IPS Touchscreen WQXGA (HD quality),Core i7-13700H,48GB,NVIDIA GeForce RTX 4070,Windows 11,2.19,2910.97
L0103,Toshiba,Dynabook Tecra G16,Chromebook,16.1,3840x2160 Touchscreen 4K UHD,Ryzen 7 7735HS,48GB,NVIDIA GeForce RTX 4050,Ubuntu 22.04,2.36,2162.48
L0104,Acer,TravelMate 13,Notebook,15,1920x1080 IPS Full HD,Ryzen 9 7940HS,48GB,NVIDIA GeForce RTX 4070,Windows 11,2.15,2920.96
L0105,MSI,Prestige X1,Netbook,14.5,2880x1800 IPS 2.8K,Ryzen 7 7840U,8GB,AMD Radeon 780M,ChromeOS,1.52,984.49
L0106,Gigabyte,AORUS 14,Ultrabook,15,3840x2160 Touchscreen 4K UHD,Core i7-13700H,32GB,NVIDIA GeForce RTX 3050,Windows 11,2.09,2124.54
L0107,Microsoft,Surface Laptop Studio 13,Workstation,14.5,2560x1600 IPS WQXGA (HD quality),Core Ultra 9 185H,32GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.98,3399.69
L0108,LG,Gram 14,Workstation,16,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7840U,48GB,AMD Radeon 760M,Windows 11,1.8,2046.88
L0109,Microsoft,Surface Pro Pro,Ultrabook,16,3840x2160 Touchscreen 4K UHD,Core i5-13500H,24GB,NVIDIA GeForce RTX 3050,Windows 11,2.18,1851.67
L0110,Gigabyte,G5 14,Ultrabook,15.6,3000x2000 Touchscreen 3K,Core i7-13700H,64GB,NVIDIA GeForce RTX 4050,Ubuntu 22.04,2.23,2674.81
L0111,Lenovo,ThinkPad X 15,Ultrabook,15.6,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 4050,Windows 11,2.16,1746.18
L0112,Acer,Nitro X1,Chromebook,16,2560x1600 IPS WQXGA (HD quality),Ryzen 9 7940HS,24GB,Apple M3 10‑core GPU,Windows 11,1.85,1680.26
L0113,Razer,Blade Pro,Workstation,15.6,1920x1080 IPS Full HD,Ryzen 7 8840U,24GB,AMD Radeon 760M,Windows 11 Pro,1.58,1527.71
L0114,Samsung,Galaxy Book G16,Business,15,3200x2000 IPS 3.2K,Core i5-13500H,24GB,NVIDIA GeForce RTX 4050,ChromeOS,1.83,1671.57
L0115,Apple,MacBook Air 13,Netbook,15.6,2880x1800 IPS Touchscreen 2.8K,Apple M2,48GB,Apple M2 10‑core GPU,macOS,1.58,2008.49
L0116,Acer,Predator Helios 7,Notebook,14,3000x2000 Touchscreen 3K,Ryzen 7 8840U,64GB,AMD Radeon 780M,Windows 11,1.26,2044.19
L0117,Microsoft,Surface Laptop Studio Pro,Notebook,15,3840x2160 Touchscreen 4K UHD,Ryzen 7 7840U,48GB,AMD Radeon 780M,Windows 11 Pro,1.49,1967.64
L0118,Dell,Vostro 14,Chromebook,13.6,3840x2160 IPS Touchscreen 4K UHD,Ryzen 7 8840U,64GB,Intel Arc iGPU,Windows 11 Pro,1.37,2280.68
L0119,Huawei,MateBook 14 14,Netbook,17,2560x1440 IPS Quad HD,Core Ultra 7 165H,16GB,Intel Arc iGPU,Windows 11 Pro,2.19,1637.79
L0120,HP,EliteBook 13,Notebook,15,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 7735HS,32GB,Apple M3 10‑core GPU,Windows 11 Pro,1.58,1538.5
L0121,LG,Ultra PC 14,Gaming,14,2880x1800 IPS Touchscreen 2.8K,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4050,Windows 11,1.78,2516.34
L0122,Toshiba,Dynabook Tecra 16,2 in 1 Convertible,17,2560x1600 IPS WQXGA (HD quality),Ryzen 7 7735HS,48GB,NVIDIA GeForce RTX 4050,Windows 11,2.49,2217.26
L0123,Acer,TravelMate,Ultrabook,13.6,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7840U,48GB,AMD Radeon 760M,Windows 11,1.29,1781.53
L0124,ASUS,ROG Zephyrus 7,2 in 1 Convertible,16,2560x1600 Touchscreen WQXGA (HD quality),Core Ultra 5 125H,16GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.21,2003.39
L0125,Huawei,MateBook X X1,Gaming,15.6,3000x2000 IPS Touchscreen 3K,Core i7-1360P,16GB,AMD Radeon 760M,Windows 11 Pro,1.6,1472.59
L0126,ASUS,TUF Gaming Plus,Business,14.5,3840x2160 IPS 4K UHD,Ryzen 7 7735HS,64GB,NVIDIA GeForce RTX 4050,Windows 11 Pro,1.81,2273.01
L0127,MSI,Pulse 7,2 in 1 Convertible,14.5,3000x2000 Touchscreen 3K,Core Ultra 5 125H,24GB,NVIDIA GeForce RTX 4070,Windows 11,1.98,2034.72
L0128,Huawei,MateBook X X1,Netbook,13.3,2880x1800 IPS 2.8K,Core i7-1360P,48GB,AMD Radeon 780M,Windows 11 Pro,1.3,2036.36
L0129,Razer,Blade 14,Notebook,16,2560x1600 Touchscreen WQXGA (HD quality),Ryzen 7 7840U,16GB,Apple M3 10‑core GPU,Windows 11,1.71,1377.81
L0130,Acer,Nitro Pro,Chromebook,14,3000x2000 IPS Touchscreen 3K,Core i7-1360P,48GB,AMD Radeon 780M,Windows 11 Pro,1.37,2065.95
L0131,Microsoft,Surface Pro 7,Workstation,16.1,3840x2160 IPS 4K UHD,Ryzen 7 8840U,64GB,Intel Arc iGPU,ChromeOS,1.92,2423.58
L0132,Huawei,MateBook 14,Chromebook,15,3200x2000 IPS Touchscreen 3.2K,Core Ultra 5 125H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11 Pro,1.85,2904.1
L0133,Huawei,MateBook D 15,Ultrabook,16.1,2560x1600 Touchscreen WQXGA (HD quality),Core i5-13500H,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,2.5,3278.1
L0134,HP,EliteBook 15,Netbook,16.1,3000x2000 Touchscreen 3K,Ryzen 7 7840U,32GB,Apple M3 10‑core GPU,Windows 11 Pro,1.94,1642.8
L0135,LG,Ultra PC Plus,Chromebook,14.5,2560x1440 Touchscreen Quad HD,Ryzen 7 7840U,24GB,AMD Radeon 780M,Windows 11 Pro,1.41,1415.34
L0136,Avita,Pura 16,Notebook,17,2880x1800 Touchscreen 2.8K,Ryzen 7 7840U,24GB,Intel Arc iGPU,Windows 11,2.17,1427.51
L0137,ASUS,TUF Gaming 15,2 in 1 Convertible,17,2560x1600 IPS Touchscreen WQXGA (HD quality),Ryzen 7 7840U,8GB,Apple M3 10‑core GPU,Windows 11,2.15,1137.08
L0138,Microsoft,Surface Laptop 15,Ultrabook,13.6,2880x1800 Touchscreen 2.8K,Ryzen 5 7640U,64GB,Intel Iris Xe,Windows 11,1.27,2141.55
L0139,Avita,Pura 7,2 in 1 Convertible,15,2560x1600 Touchscreen WQXGA (HD quality),Core Ultra 7 155H,64GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,2.05,3634.69
L0140,HP,Spectre x360 X1,Chromebook,14,3200x2000 Touchscreen 3.2K,Core Ultra 5 125H,24GB,NVIDIA GeForce RTX 3050,ChromeOS,1.67,1553.37
L0141,Microsoft,Surface Laptop Studio 14,Chromebook,15,2560x1440 IPS Quad HD,Ryzen 7 7840U,64GB,AMD Radeon 760M,Windows 11,1.45,2313.82
L0142,ASUS,ExpertBook 15,Gaming,16,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,32GB,Intel Arc iGPU,Windows 11,1.8,1501.66
L0143,Apple,MacBook Pro X1,2 in 1 Convertible,16.1,3840x2160 Touchscreen 4K UHD,Apple M3 Pro,24GB,Apple M3 10‑core GPU,macOS,1.92,1894.47
L0144,ASUS,ROG Zephyrus 15,Ultrabook,13.6,2880x1800 Touchscreen 2.8K,Core i5-13500H,64GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,1.58,2544.46
L0145,Samsung,Galaxy Book 7,Netbook,16,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7735HS,64GB,Intel Iris Xe,Windows 11,1.81,2238.66
L0146,Acer,Swift Plus,Notebook,13.3,3840x2160 IPS Touchscreen 4K UHD,Core i9-13900H,16GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.73,2976.86
L0147,Samsung,Galaxy Book 7,Gaming,17,2880x1800 Touchscreen 2.8K,Core i9-13900H,32GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.4,2658.33
L0148,Dell,XPS X1,Netbook,13.6,3000x2000 IPS 3K,Core i7-13700H,8GB,NVIDIA GeForce RTX 4050,Ubuntu 24.04,1.72,1658.31
L0149,Avita,Pura X1,Notebook,17,2560x1440 IPS Touchscreen Quad HD,Ryzen 5 7640U,16GB,Apple M3 10‑core GPU,Windows 11,2.25,1088.95
L0150,Apple,MacBook Air 15,Business,17,2880x1800 IPS 2.8K,Apple M3,32GB,Apple M3 10‑core GPU,macOS,2.17,1715.83
L0151,Avita,Liber V,Business,13.3,2560x1440 IPS Quad HD,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4080 Laptop GPU,Windows 11,1.46,3157.07
